ALL DATA ARE PROVISIONAL AND SUBJECT TO REVISION
08373000 Rio Conchos Near Ojinaga, Chih.
    Date     Time
             CST       Stage (m)          Discharge (cms)
02/26/2020   22:00       1.198                 0.40
02/26/2020   21:45       1.198                 0.40
02/26/2020   21:30       1.198                 0.40
02/26/2020   21:15       1.198                 0.40
02/26/2020   21:00       1.198                 0.40
02/26/2020   20:45       1.198                 0.40
02/26/2020   20:30       1.197                 0.40
02/26/2020   20:15       1.196                 0.39
02/26/2020   20:00       1.197                 0.40
02/26/2020   19:45       1.197                 0.40
02/26/2020   19:30       1.197                 0.40
02/26/2020   19:15       1.197                 0.40
02/26/2020   19:00       1.197                 0.40
02/26/2020   18:45       1.197                 0.40
02/26/2020   18:30       1.196                 0.39
02/26/2020   18:15       1.197                 0.40
02/26/2020   18:00       1.196                 0.39
02/26/2020   17:45       1.196                 0.39
02/26/2020   17:30       1.194                 0.37
02/26/2020   17:15       1.194                 0.37
02/26/2020   17:00       1.193                 0.37
02/26/2020   16:45       1.193                 0.37
02/26/2020   16:30       1.193                 0.37
02/26/2020   16:15       1.193                 0.37
02/26/2020   16:00       1.195                 0.38
02/26/2020   15:45       1.193                 0.37
02/26/2020   15:30       1.193                 0.37
02/26/2020   15:15       1.194                 0.37
02/26/2020   15:00       1.194                 0.37
02/26/2020   14:45       1.195                 0.38
02/26/2020   14:30       1.194                 0.37
02/26/2020   14:15       1.194                 0.37
02/26/2020   14:00       1.195                 0.38
02/26/2020   13:45       1.194                 0.37
02/26/2020   13:30       1.196                 0.39
02/26/2020   13:15       1.195                 0.38
02/26/2020   13:00       1.195                 0.38
02/26/2020   12:45       1.195                 0.38
02/26/2020   12:30       1.196                 0.39
02/26/2020   12:15       1.197                 0.40
02/26/2020   12:00       1.196                 0.39
02/26/2020   11:45       1.197                 0.40
02/26/2020   11:30       1.197                 0.40
02/26/2020   11:15       1.198                 0.40
02/26/2020   11:00       1.198                 0.40
02/26/2020   10:45       1.199                 0.41
02/26/2020   10:30       1.198                 0.40
02/26/2020   10:15       1.200                 0.42
02/26/2020   10:00       1.200                 0.42
02/26/2020   09:45       1.200                 0.42
02/26/2020   09:30       1.200                 0.42
02/26/2020   09:15       1.199                 0.41
02/26/2020   09:00       1.199                 0.41
02/26/2020   08:45       1.198                 0.40
02/26/2020   08:30       1.198                 0.40
02/26/2020   08:15       1.198                 0.40
02/26/2020   08:00       1.198                 0.40
02/26/2020   07:45       1.197                 0.40
02/26/2020   07:30       1.197                 0.40
02/26/2020   07:15       1.197                 0.40
02/26/2020   07:00       1.197                 0.40
02/26/2020   06:45       1.196                 0.39
02/26/2020   06:30       1.197                 0.40
02/26/2020   06:15       1.197                 0.40
02/26/2020   06:00       1.196                 0.39
02/26/2020   05:45       1.198                 0.40
02/26/2020   05:30       1.198                 0.40
02/26/2020   05:15       1.198                 0.40
02/26/2020   05:00       1.198                 0.40
02/26/2020   04:45       1.198                 0.40
02/26/2020   04:30       1.200                 0.42
02/26/2020   04:15       1.201                 0.43
02/26/2020   04:00       1.202                 0.43
02/26/2020   03:45       1.204                 0.45
02/26/2020   03:30       1.205                 0.46
02/26/2020   03:15       1.203                 0.44
02/26/2020   03:00       1.205                 0.46
02/26/2020   02:45       1.203                 0.44
02/26/2020   02:30       1.204                 0.45
02/26/2020   02:15       1.207                 0.48
02/26/2020   02:00       1.202                 0.43
02/26/2020   01:45       1.199                 0.41
02/26/2020   01:30       1.198                 0.40
02/26/2020   01:15       1.198                 0.40
02/26/2020   01:00       1.198                 0.40
02/26/2020   00:45       1.199                 0.41
02/26/2020   00:30       1.198                 0.40
02/26/2020   00:15       1.199                 0.41
02/26/2020   00:00       1.199                 0.41
02/25/2020   23:45       1.198                 0.40
02/25/2020   23:30       1.197                 0.40
02/25/2020   23:15       1.197                 0.40
02/25/2020   23:00       1.198                 0.40
02/25/2020   22:45       1.199                 0.41
02/25/2020   22:30       1.201                 0.43
02/25/2020   22:15       1.202                 0.43
02/25/2020   22:00       1.202                 0.43
02/25/2020   21:45       1.201                 0.43
02/25/2020   21:30       1.202                 0.43
02/25/2020   21:15       1.203                 0.44
02/25/2020   21:00       1.203                 0.44
02/25/2020   20:45       1.202                 0.43
02/25/2020   20:30       1.201                 0.43
02/25/2020   20:15       1.198                 0.40
02/25/2020   20:00       1.196                 0.39
02/25/2020   19:45       1.195                 0.38
02/25/2020   19:30       1.196                 0.39
02/25/2020   19:15       1.194                 0.37
02/25/2020   19:00       1.195                 0.38
02/25/2020   18:45       1.197                 0.40
02/25/2020   18:30       1.196                 0.39
02/25/2020   18:15       1.198                 0.40
02/25/2020   18:00       1.197                 0.40
02/25/2020   17:45       1.198                 0.40
02/25/2020   17:30       1.200                 0.42
02/25/2020   17:15       1.198                 0.40
02/25/2020   17:00       1.196                 0.39
02/25/2020   16:45       1.197                 0.40
02/25/2020   16:30       1.199                 0.41
02/25/2020   16:15       1.200                 0.42
02/25/2020   16:00       1.198                 0.40
02/25/2020   15:45       1.197                 0.40
02/25/2020   15:30       1.197                 0.40
02/25/2020   15:15       1.197                 0.40
02/25/2020   15:00       1.197                 0.40
02/25/2020   14:45       1.198                 0.40
02/25/2020   14:30       1.195                 0.38
02/25/2020   14:15       1.197                 0.40
02/25/2020   14:00       1.197                 0.40
02/25/2020   13:45       1.198                 0.40
02/25/2020   13:30       1.199                 0.41
02/25/2020   13:15       1.199                 0.41
02/25/2020   13:00       1.197                 0.40
02/25/2020   12:45       1.198                 0.40
02/25/2020   12:30       1.198                 0.40
02/25/2020   12:15       1.198                 0.40
02/25/2020   12:00       1.199                 0.41
02/25/2020   11:45       1.199                 0.41
02/25/2020   11:30       1.199                 0.41
02/25/2020   11:15       1.200                 0.42
02/25/2020   11:00       1.199                 0.41
02/25/2020   10:45       1.199                 0.41
02/25/2020   10:30       1.200                 0.42
02/25/2020   10:15       1.200                 0.42
02/25/2020   10:00       1.200                 0.42
02/25/2020   09:45       1.201                 0.43
02/25/2020   09:30       1.200                 0.42
02/25/2020   09:15       1.200                 0.42
02/25/2020   09:00       1.202                 0.43
02/25/2020   08:45       1.201                 0.43
02/25/2020   08:30       1.202                 0.43
02/25/2020   08:15       1.202                 0.43
02/25/2020   08:00       1.201                 0.43
02/25/2020   07:45       1.202                 0.43
02/25/2020   07:30       1.202                 0.43
02/25/2020   07:15       1.203                 0.44
02/25/2020   07:00       1.203                 0.44
02/25/2020   06:45       1.203                 0.44
02/25/2020   06:30       1.203                 0.44
02/25/2020   06:15       1.204                 0.45
02/25/2020   06:00       1.203                 0.44
02/25/2020   05:45       1.203                 0.44
02/25/2020   05:30       1.205                 0.46
02/25/2020   05:15       1.204                 0.45
02/25/2020   05:00       1.205                 0.46
02/25/2020   04:45       1.204                 0.45
02/25/2020   04:30       1.205                 0.46
02/25/2020   04:15       1.205                 0.46
02/25/2020   04:00       1.205                 0.46
02/25/2020   03:45       1.206                 0.47
02/25/2020   03:30       1.206                 0.47
02/25/2020   03:15       1.206                 0.47
02/25/2020   03:00       1.205                 0.46
02/25/2020   02:45       1.205                 0.46
02/25/2020   02:30       1.205                 0.46
02/25/2020   02:15       1.206                 0.47
02/25/2020   02:00       1.206                 0.47
02/25/2020   01:45       1.206                 0.47
02/25/2020   01:30       1.205                 0.46
02/25/2020   01:15       1.205                 0.46
02/25/2020   01:00       1.204                 0.45
02/25/2020   00:45       1.204                 0.45
02/25/2020   00:30       1.203                 0.44
02/25/2020   00:15       1.203                 0.44
02/25/2020   00:00       1.202                 0.43
02/24/2020   23:45       1.201                 0.43
02/24/2020   23:30       1.200                 0.42
02/24/2020   23:15       1.201                 0.43
02/24/2020   23:00       1.199                 0.41
02/24/2020   22:45       1.198                 0.40
02/24/2020   22:30       1.197                 0.40
02/24/2020   22:15       1.197                 0.40
02/24/2020   22:00       1.197                 0.40
02/24/2020   21:45       1.196                 0.39
02/24/2020   21:30       1.196                 0.39
02/24/2020   21:15       1.195                 0.38
02/24/2020   21:00       1.195                 0.38
02/24/2020   20:45       1.196                 0.39
02/24/2020   20:30       1.195                 0.38
02/24/2020   20:15       1.195                 0.38
02/24/2020   20:00       1.195                 0.38
02/24/2020   19:45       1.194                 0.37
02/24/2020   19:30       1.195                 0.38
02/24/2020   19:15       1.195                 0.38
02/24/2020   19:00       1.195                 0.38
02/24/2020   18:45       1.194                 0.37
02/24/2020   18:30       1.195                 0.38
02/24/2020   18:15       1.195                 0.38
02/24/2020   18:00       1.195                 0.38
02/24/2020   17:45       1.195                 0.38
02/24/2020   17:30       1.195                 0.38
02/24/2020   17:15       1.195                 0.38
02/24/2020   17:00       1.195                 0.38
02/24/2020   16:45       1.194                 0.37
02/24/2020   16:30       1.195                 0.38
02/24/2020   16:15       1.195                 0.38
02/24/2020   16:00       1.194                 0.37
02/24/2020   15:45       1.196                 0.39
02/24/2020   15:30       1.195                 0.38
02/24/2020   15:15       1.194                 0.37
02/24/2020   15:00       1.195                 0.38
02/24/2020   14:45       1.195                 0.38
02/24/2020   14:30       1.196                 0.39
02/24/2020   14:15       1.195                 0.38
02/24/2020   14:00       1.194                 0.37
02/24/2020   13:45       1.195                 0.38
02/24/2020   13:30       1.197                 0.40
02/24/2020   13:15       1.196                 0.39
02/24/2020   13:00       1.195                 0.38
02/24/2020   12:45       1.196                 0.39
02/24/2020   12:30       1.195                 0.38
02/24/2020   12:15       1.196                 0.39
02/24/2020   12:00       1.196                 0.39
02/24/2020   11:45       1.195                 0.38
02/24/2020   11:30       1.196                 0.39
02/24/2020   11:15       1.196                 0.39
02/24/2020   11:00       1.196                 0.39
02/24/2020   10:45       1.196                 0.39
02/24/2020   10:30       1.197                 0.40
02/24/2020   10:15       1.197                 0.40
02/24/2020   10:00       1.198                 0.40
02/24/2020   09:45       1.198                 0.40
02/24/2020   09:30       1.198                 0.40
02/24/2020   09:15       1.198                 0.40
02/24/2020   09:00       1.197                 0.40
02/24/2020   08:45       1.197                 0.40
02/24/2020   08:30       1.197                 0.40
02/24/2020   08:15       1.197                 0.40
02/24/2020   08:00       1.196                 0.39
02/24/2020   07:45       1.197                 0.40
02/24/2020   07:30       1.197                 0.40
02/24/2020   07:15       1.197                 0.40
02/24/2020   07:00       1.197                 0.40
02/24/2020   06:45       1.197                 0.40
02/24/2020   06:30       1.198                 0.40
02/24/2020   06:15       1.197                 0.40
02/24/2020   06:00       1.198                 0.40
02/24/2020   05:45       1.198                 0.40
02/24/2020   05:30       1.199                 0.41
02/24/2020   05:15       1.199                 0.41
02/24/2020   05:00       1.200                 0.42
02/24/2020   04:45       1.200                 0.42
02/24/2020   04:30       1.200                 0.42
02/24/2020   04:15       1.198                 0.40
02/24/2020   04:00       1.198                 0.40
02/24/2020   03:45       1.199                 0.41
02/24/2020   03:30       1.200                 0.42
02/24/2020   03:15       1.200                 0.42
02/24/2020   03:00       1.201                 0.43
02/24/2020   02:45       1.200                 0.42
02/24/2020   02:30       1.201                 0.43
02/24/2020   02:15       1.200                 0.42
02/24/2020   02:00       1.200                 0.42
02/24/2020   01:45       1.200                 0.42
02/24/2020   01:30       1.201                 0.43
02/24/2020   01:15       1.203                 0.44
02/24/2020   01:00       1.201                 0.43
02/24/2020   00:45       1.202                 0.43
02/24/2020   00:30       1.201                 0.43
02/24/2020   00:15       1.201                 0.43
02/24/2020   00:00       1.202                 0.43
02/23/2020   23:45       1.203                 0.44
02/23/2020   23:30       1.201                 0.43
02/23/2020   23:15       1.202                 0.43
02/23/2020   23:00       1.203                 0.44
02/23/2020   22:45       1.203                 0.44
02/23/2020   22:30       1.203                 0.44
02/23/2020   22:15       1.202                 0.43
02/23/2020   22:00       1.202                 0.43
02/23/2020   21:45       1.202                 0.43
02/23/2020   21:30       1.202                 0.43
02/23/2020   21:15       1.201                 0.43
02/23/2020   21:00       1.201                 0.43
02/23/2020   20:45       1.201                 0.43
02/23/2020   20:30       1.200                 0.42
02/23/2020   20:15       1.199                 0.41
02/23/2020   20:00       1.199                 0.41
02/23/2020   19:45       1.199                 0.41
02/23/2020   19:30       1.199                 0.41
02/23/2020   19:15       1.201                 0.43
02/23/2020   19:00       1.201                 0.43
02/23/2020   18:45       1.201                 0.43
02/23/2020   18:30       1.203                 0.44
02/23/2020   18:15       1.202                 0.43
02/23/2020   18:00       1.201                 0.43
02/23/2020   17:45       1.202                 0.43
02/23/2020   17:30       1.202                 0.43
02/23/2020   17:15       1.202                 0.43
02/23/2020   17:00       1.204                 0.45
02/23/2020   16:45       1.204                 0.45
02/23/2020   16:30       1.204                 0.45
02/23/2020   16:15       1.205                 0.46
02/23/2020   16:00       1.203                 0.44
02/23/2020   15:45       1.206                 0.47
02/23/2020   15:30       1.207                 0.48
02/23/2020   15:15       1.206                 0.47
